book_name,authors,rating,publish_year,publish_month,publish_day,publisher,num_reviews,num_pages
"Reefer Madness: Sex, Drugs, and Cheap Labor in the American Black Market",Eric Schlosser,3.78,2004,1,4,Mariner Books,354,352
The Death and Life of Great American Cities,Jane Jacobs,4.31,2002,10,9,Random House,770,472
The Great Indian Novel,Shashi Tharoor,3.88,1993,26,2,Arcade Publishing,321,423
"The Woman at the Washington Zoo: Writings on Politics, Family, and Fate",Marjorie Williams,4.08,2006,24,10,PublicAffairs,102,384
"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,3.97,1989,1,3,Perfection Learning,5379,232
"Voice of the Violin (Inspector Montalbano, #4)",Andrea Camilleri,4.03,2004,29,6,Penguin,258,249
El diccionario del diablo,Ambrose Bierce,4.11,2005,28,9,Edimat Libros,2,223
Don't Shoot the Dog!: The New Art of Teaching and Training,Karen Pryor,4.27,2006,1,11,Ringpress Books,325,202
Malcolm X Speaks: Selected Speeches and Statements,Malcolm X,4.46,1994,11,1,Grove Weidenfeld,70,240
"Lila: An Inquiry Into Morals (Phaedrus, #2)",Robert M. Pirsig,3.78,1992,1,11,Bantam,296,480
Babyville,Jane Green,3.62,2004,23,3,Broadway Books,547,464
The Farming of Bones,Edwidge Danticat,4.07,1999,1,9,Penguin Books,619,312
Villette,Charlotte Brontë,3.76,2001,9,10,Modern Library,2210,573
The Razor's Edge,W. Somerset Maugham,4.19,2003,9,9,Vintage International,2164,314
Tom Jones,Henry Fielding,3.74,1992,5,5,Wordsworth Editions,49,734
"The Janson Directive (Paul Janson, #1)",Robert Ludlum,3.87,2003,19,10,St. Martin's Paperbacks,261,693
"Hickory Dickory Dock (Hercule Poirot, #32)",Agatha Christie,3.75,2006,7,12,AudioGO,383,196
"A Caribbean Mystery (Miss Marple, #10)",Agatha Christie,3.81,2000,1,3,Signet,798,224
"Nemesis (Miss Marple, #12)",Agatha Christie,3.85,2000,1,5,Signet,791,224
Barnyard Dance,Sandra Boynton,4.25,1993,1,10,Workman Publishing Company,481,24
"With No One as Witness (Inspector Lynley, #13)",Elizabeth  George,4.04,2006,28,2,Harper,534,784
"Deception on His Mind (Inspector Lynley, #9)",Elizabeth  George,4.05,1998,6,10,Bantam Books,293,716
"A Place of Hiding (Inspector Lynley, #12)",Elizabeth  George,3.89,2004,3,8,Bantam,376,800
"Payment in Blood (Inspector Lynley, #2)",Elizabeth  George,4.01,1990,1,6,Bantam Books,554,432
"In Pursuit of the Proper Sinner (Inspector Lynley, #10)",Elizabeth  George,4.1,2000,31,11,Bantam Books,300,718
Black Boy,Richard Wright,4.06,2005,29,11,Harper,12,432
The Serpent and the Rainbow,Wade Davis,3.91,1997,5,8,Simon  Schuster,296,304
"Standing in the Rainbow (Elmwood Springs, #2)",Fannie Flagg,4.04,2004,3,8,Ballantine Books,904,560
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,4.26,1999,18,8,William Morrow Paperbacks,543,352
Also sprach Zarathustra,Friedrich Nietzsche,4.06,2006,1,9,Paperbackshop.Co.UK Ltd - Echo Library,2,228
"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,3.77,2004,7,9,Berkley,737,467
Jane Austen: A Life,Carol Shields,3.85,2005,31,5,Penguin Books,175,192
Leaf Storm and Other Stories,Gabriel García Márquez,3.67,2005,1,2,Harper Perennial,137,146
Innocent Erendira and Other Stories,Gabriel García Márquez,3.9,2005,1,2,Perennial Classics,217,192
The Will to Power,Friedrich Nietzsche,4.05,2011,17,8,Vintage Books,134,575
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,4.12,1991,1,1,Pocket Books,557,704
The Matrix and Philosophy: Welcome to the Desert of the Real,William Irwin,3.91,2002,28,8,Open Court,71,280
Living Dead Girl,Tod Goldberg,3.45,2003,1,7,Soho Crime,42,208
Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,3.88,2005,2,8,William Morrow Paperbacks,333,451
"Astonishing X-Men, Volume 1: Gifted",Joss Whedon,4.17,2006,10,5,Marvel,561,152
This Shape We're In,Jonathan Lethem,3.29,2001,1,2,McSweeney's,53,55
Venetia,Georgette Heyer,4.1,2006,24,10,Hqn,805,364
Lady of Quality,Georgette Heyer,3.89,2005,2,6,Arrow,466,267
False Colours,Georgette Heyer,3.87,2005,2,6,Arrow,332,303
Sylvester,Georgette Heyer,4.11,2004,23,4,Harlequin,646,410
The Convenient Marriage,Georgette Heyer,3.68,2005,6,1,Arrow,875,272
Ina May's Guide to Childbirth,Ina May Gaskin,4.39,2003,4,3,Bantam,2035,348
Summer of the Dragon,Elizabeth Peters,3.93,2001,6,3,HarperCollins,103,352
Devil May Care,Elizabeth Peters,3.88,2001,4,9,Avon,110,352
"The Deeds of the Disturber (Amelia Peabody, #5)",Elizabeth Peters,4.05,2000,5,1,Avon,368,389
The Art of Raising a Puppy,Monks of New Skete,4.13,1991,20,3,"Little, Brown and Company",317,274
"The Mephisto Club (Rizzoli & Isles, #6)",Tess Gerritsen,4.02,2006,12,9,Ballantine Books,1196,355
"The Sinner (Rizzoli & Isles, #3)",Tess Gerritsen,4.13,2005,17,1,Bantem Press,1107,419
Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,4.18,1986,12,12,Ballantine Books,487,271
A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky,4.35,2002,12,3,Scribner,598,304
El Retrato De Dorian Gray,Oscar Wilde,4.08,2006,7,4,Mestas Ediciones,5,251
"Henry IV, Part 2",William Shakespeare,3.8,2006,1,1,Simon  Schuster,90,400
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,3.76,2000,18,5,Arrow,2169,564
"Fear Nothing (Moonlight Bay, #1)",Dean Koontz,4.0,1998,1,12,Bantam Books,842,448
The Face,Dean Koontz,3.71,2004,27,4,Bantam,569,649
The Voice of the Night,Brian Coffey,3.94,2004,1,1,Turtleback Books,4,339
The Pelican Brief,John Grisham,4.0,2006,25,4,Delta,1974,400
"Shakespeare's Champion (Lily Bard, #2)",Charlaine Harris,3.83,2006,5,12,Berkley Books,541,214
Will in the World: How Shakespeare Became Shakespeare,Stephen Greenblatt,3.94,2004,30,9,W.W. Norton & Company (NY/London),71,430
"Shakespeare's Trollop (Lily Bard, #4)",Charlaine Harris,3.87,2004,4,5,Berkley,368,194
"Hide (Detective D.D. Warren, #2)",Lisa Gardner,4.16,2007,30,1,Bantam Books,1519,375
The Art of Fiction: Notes on Craft for Young Writers,John Gardner,4.0,1991,4,6,Vintage,415,240
The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.16,1998,1,4,Signet Classics,312,400
Victoria,Knut Hamsun,3.74,1994,1,10,Sun & Moon Press,7,155
"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,4.17,1998,1,10,Berkley Books,502,507
"The Inhuman Condition (Books of Blood, #4)",Clive Barker,3.96,2001,1,3,Pocket Books,112,180
"Patriot Games (Jack Ryan, #1)",Tom Clancy,4.14,1992,1,5,Berkley,1013,503
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,3.68,2001,29,4,Hyperion,359,277
At the Mountains of Madness,H.P. Lovecraft,3.88,2005,14,6,Modern Library,1640,224
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.25,1991,13,9,Del Rey Books,494,184
"Paradiso (The Divine Comedy, #3)",Dante Alighieri,3.95,1962,30,7,Penguin Classics,224,400
The Canterbury Tales: Fifteen Tales and the General Prologue,Geoffrey Chaucer,3.95,2005,1,8,W. W. Norton & Company,41,600
"From the Earth to the Moon (Extraordinary Voyages, #4)",Jules Verne,3.78,2006,1,10,Aegypan,429,136
"Journey to the Center of the Earth (Extraordinary Voyages, #3)",Jules Verne,3.86,2006,25,4,Bantam,2576,240
"The Mysterious Island (Extraordinary Voyages, #12)",Jules Verne,4.11,2004,27,4,Modern Library,956,723
"The Master of the World (Extraordinary Voyages, #53)",Jules Verne,3.47,2006,22,5,1st World Library - Literary Society,88,192
The Other Side,Mary Gordon,3.14,1992,16,2,Random House Value Publishing,2,0
Perfect Match,Jodi Picoult,3.95,2002,1,5,Atria Books,33,368
Sister Outsider: Essays and Speeches,Audre Lorde,4.5,1984,1,6,Crossing Press,597,190
Caramelo,Sandra Cisneros,3.9,2003,9,9,Vintage,707,441
The House on Mango Street,Sandra Cisneros,3.63,2005,30,8,Random House Audio,21,2
Nancy Drew: #1-6 [Box Set],Carolyn Keene,4.25,1998,5,10,,89,0
"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,3.99,1991,1,9,Applewood Books,2155,210
Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,4.17,2001,6,9,Random House,166,336
King Richard II,William Shakespeare,3.77,2003,5,5,Cambridge University Press,5,252
Paint it Black,Janet Fitch,3.48,2006,1,9,Little Brown and Company,981,387
The Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.33,2002,9,4,Modern Library,62,528
"Hamlet, Prince of Denmark",William Shakespeare,4.02,2003,21,4,Cambridge University Press/The New Cambridge Shakespeare,13,270
Everyday Matters,Danny Gregory,4.16,2007,9,1,Hachette Books,119,128
Naked Economics: Undressing the Dismal Science,Charles Wheelan,4.03,2003,17,9,W. W. Norton  Company,483,288
The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,3.95,1999,13,4,Delta,327,256
The Dog of the Marriage: Stories,Amy Hempel,4.01,2005,22,2,Scribner Book Company,105,139
Impossible Vacation,Spalding Gray,3.74,1993,27,4,Vintage,64,240
Jennifer Government,Max Barry,3.66,2004,5,2,Abacus,926,352
Mama Day,Gloria Naylor,4.17,1989,23,4,Vintage,564,312
"Key Lime Pie Murder (Hannah Swensen, #9)",Joanne Fluke,3.85,2007,31,7,Kensington Publishing Corporation,535,342
"Cherry Cheesecake Murder (Hannah Swensen, #8)",Joanne Fluke,3.91,2007,1,2,Kensington Publishing Corporation,540,382
"Strawberry Shortcake Murder (Hannah Swensen, #2)",Joanne Fluke,3.85,2002,2,2,Kensington,902,320
"Fluke: Or, I Know Why the Winged Whale Sings",Christopher Moore,3.75,2004,15,6,Harper,1961,321
"Blueberry Muffin Murder (Hannah Swensen, #3)",Joanne Fluke,3.87,2003,1,2,Kensington,702,310
The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,Al Ries,4.05,1994,27,4,Harper Business,476,143
"You Suck (A Love Story, #2)",Christopher Moore,3.83,2007,16,1,William Morrow,2414,328
"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,3.94,2004,1,6,HarperCollins,1876,300
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.07,2006,21,3,William Morrow,5509,387
"The Contract With God Trilogy: Life on Dropsie Avenue (The Contract With God Trilogy, #1-3)",Will Eisner,4.25,2005,17,12,W.W. Norton & Company,236,498
"The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard,4.15,2005,22,11,Del Rey,393,496
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.22,2002,25,7,Penguin Books,77,420
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",Jules Verne,3.88,2002,1,4,Barnes & Noble,3144,394
"One Thousand White Women: The Journals of May Dodd (One Thousand White Women, #1)",Jim Fergus,3.88,1999,15,2,St. Martin's Griffin,7685,434
The White Man's Burden: Why the West's Efforts to Aid the Rest Have Done So Much Ill and So Little Good,William Easterly,3.83,2007,1,3,Penguin Books,236,436
Hell House,Richard Matheson,3.79,2004,1,7,Severn House Publishers,1517,301
In the Pond,Ha Jin,3.72,2002,3,1,Vintage,125,160
Katherine,Anya Seton,4.19,2004,1,5,Chicago Review Press,1646,500
Born on the Fourth of July,Ron Kovic,3.85,2005,1,6,Akashic Books,154,224
The Lake House,James Patterson,3.8,2005,20,4,Grand Central Publication,1,416
"Imperial Grunts: On the Ground with the American Military, from Mongolia to the Philippines to Iraq and Beyond",Robert D. Kaplan,3.96,2006,12,9,Vintage,86,448
Girls' Night In,Lauren Henderson,3.63,2004,1,9,Red Dress Ink,188,325
Tell Me Lies,Jennifer Crusie,3.71,2004,11,7,St. Martin's Paperbacks,404,384
Crazy For You,Jennifer Crusie,3.78,2004,11,7,St. Martin's Paperbacks,448,336
"Welcome to Temptation (Dempseys, #1)",Jennifer Crusie,3.94,2004,11,7,St. Martin's Paperbacks,920,416
"Faking It (Dempseys, #2)",Jennifer Crusie,3.92,2004,11,7,St. Martin's Paperbacks,672,448
Anyone But You,Jennifer Crusie,3.8,2006,21,11,HQN Books,878,283
Running in Heels,Anna Maxted,3.54,2002,28,5,William Morrow Paperbacks,207,432
Up Country,Nelson DeMille,4.02,2003,1,4,Vision,709,880
Story of a Girl,Sara Zarr,3.66,2007,10,1,"Little, Brown Books for Young Readers",1560,192
Citizen Girl,Emma McLaughlin,2.4,2005,4,10,Washington Square Press,578,305
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,4.09,2003,22,5,Jonathan Cape,1015,380
The Waste Land,T.S. Eliot,4.11,2000,1,12,W.W. Norton & Company,694,320
The Waste Land and Other Writings,T.S. Eliot,4.21,2002,8,1,Modern Library,76,272
The I Ching or Book of Changes,Richard Wilhelm,4.19,1989,29,6,Penguin Books,12,739
It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Peter Walsh,3.85,2007,1,1,Free Press,674,230
"The Chronicles of Chrestomanci, Vol. 2 (Chrestomanci #3-4)",Diana Wynne Jones,4.2,2007,10,4,Greenwillow Books,139,548
The Glass Lake,Maeve Binchy,3.93,2005,29,6,The Orion Publishing Group Ltd,677,704
Gertrude,Hermann Hesse,3.86,2005,1,8,Picador,143,256
The Zombie Survival Guide,Max Brooks,3.86,2003,16,9,Three Rivers Press,55,272
The Makioka Sisters,Jun'ichirō Tanizaki,4.03,1995,26,9,Vintage,454,530
Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Joel Fuhrman,4.13,2005,1,1,Little Brown and Company,1181,292
"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives",Brian L. Weiss,4.16,1996,12,3,Grand Central Publishing,1952,217
"Wintersmith (Discworld, #35; Tiffany Aching, #3)",Terry Pratchett,4.24,2006,1,10,HarperTempest,1237,325
Strata,Terry Pratchett,3.5,1988,22,4,Corgi,271,285
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99,2005,13,9,Harper,4540,228
"The Truth (Discworld, #25; Industrial Revolution, #2)",Terry Pratchett,4.27,2002,21,2,Bloomsbury Methuen Drama,887,336
"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",Terry Pratchett,4.3,2005,5,5,Corgi Childrens,1306,352
The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,4.17,2002,20,8,Harper Voyager,527,176
"Wyrd Sisters (Discworld, #6; Witches #2)",Terry Pratchett,4.13,2001,6,2,Hartorch,1942,265
"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,3.98,2000,2,2,HarperTorch,2055,277
"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,4.03,2005,13,9,Harper Perennial,2311,228
Interesting Times: The Play,Stephen Briggs,4.16,2002,4,7,Bloomsbury Methuen Drama,176,102
"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",Terry Pratchett,3.94,2005,1,4,Corgi,836,396
"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,4.21,2003,25,9,,1089,496
"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,4.28,2005,1,4,Corgi,1469,352
"Feet of Clay (Discworld, #19; City Watch, #3)",Terry Pratchett,4.29,2005,1,10,Corgi,914,411
"Lords and Ladies (Discworld, #14; Witches #4)",Terry Pratchett,4.17,2005,1,8,Corgi,830,400
"Guards! Guards! (Discworld, #8)",Terry Pratchett,4.33,2001,31,7,Turtleback Books,2,355
"Johnny and the Dead (Johnny Maxwell, #2)",Terry Pratchett,3.79,2007,3,4,HarperCollins,5,213
"Hogfather (Discworld, #20; Death, #4)",Terry Pratchett,4.23,2006,2,10,Corgi,1384,432
Carpe Jugulum (Discworld #23; Witches #6),Terry Pratchett,4.15,1999,8,9,Harper Voyager,758,296
If Chins Could Kill: Confessions of a B Movie Actor,Bruce Campbell,4.0,2002,24,8,L.A. Weekly Books,741,344
Replay,Sharon Creech,3.52,2013,23,4,HarperCollins,233,224
"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,4.25,2002,14,9,Tor Books,2744,624
"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,4.1,2005,27,12,Yearling,1558,96
"Dragons of Autumn Twilight (Dragonlance: Chronicles, #1)",Margaret Weis,3.99,2003,1,4,Wizards of the Coast,7,408
"The Scions of Shannara (Heritage of Shannara, #1)",Terry Brooks,3.99,2006,5,10,Orbit,257,512
Battle Cry of Freedom,James M. McPherson,4.35,2003,11,12,"Oxford University Press, USA",1003,867
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,3.77,2003,10,10,Contemporary Books,756,345
"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,4.13,1995,15,11,Tor Books,2007,1011
Zen Guitar,Philip Toshio Sudo,4.01,1998,24,3,Simon  Schuster,123,208
Cash,Johnny Cash,4.07,2003,7,10,HarperOne,576,310
Without Feathers,Woody Allen,3.96,1986,12,2,Ballantine Books,318,224
The Beatles Anthology,George Harrison,4.36,2002,1,9,Chronicle Books,15,368
A General Theory of Love,Thomas Lewis,4.11,2001,9,1,Vintage,423,288
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,4.35,2006,7,3,Signet,5389,464
Dog Years,Günter Grass,3.83,1997,21,7,Vintage Classics,7,624
The Collected Stories of Arthur C. Clarke,Arthur C. Clarke,4.29,2002,14,1,Tom Doherty Associates/Orb Books,139,966
"Sunstorm (A Time Odyssey, #2)",Arthur C. Clarke,3.83,2006,28,2,Del Rey Books,154,356
Flashback,Cait London,3.69,2005,1,10,Avon Books,9,407
Crime Wave: Reportage and Fiction from the Underside of L.A.,James Ellroy,3.59,1999,26,1,Vintage Crime/Black Lizard,50,288
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.11,2004,9,11,Free Press,7220,372
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Steven Johnson,3.9,2006,1,11,Riverhead Books,2928,299
The Fountains of Paradise,Arthur C. Clarke,3.96,1979,1,1,Harcourt Brace Jovanovich (NY),17,245
"Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,3.93,2005,6,9,Daw Books,492,496
Tales,H.P. Lovecraft,4.34,2005,3,2,Library of America,175,838
Tales of H.P. Lovecraft,H.P. Lovecraft,4.19,2000,19,9,Ecco,138,352
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,H.P. Lovecraft,4.31,2002,29,10,Ballantine Books,551,406
The Doom That Came to Sarnath and Other Stories,H.P. Lovecraft,4.12,1991,13,9,Del Rey,67,208
Touched with Fire: Manic-Depressive Illness and the Artistic Temperament,Kay Redfield Jamison,4.02,1996,18,10,Free Press,199,384
"Nightbirds on Nantucket (The Wolves Chronicles, #3)",Joan Aiken,4.13,1999,25,10,HMH Books for Young Readers,99,218
The Woman in Black,Susan Hill,3.72,2001,1,12,David R. Godine Publisher,3099,138
"The Various Haunts of Men (Simon Serrailler, #1)",Susan Hill,3.82,2007,19,4,Harry N. Abrams,830,438
"Old Filth (Old Filth, #1)",Jane Gardam,3.93,2006,1,6,Europa Editions,1636,290
The Miraculous Journey of Edward Tulane,Kate DiCamillo,4.37,2006,14,2,Candlewick Press,8226,200
Carnet de Voyage,Craig Thompson,3.76,2004,3,8,Top Shelf Productions,400,224
"Good-Bye, Chunky Rice",Craig Thompson,3.79,2006,9,5,Pantheon Books,472,125
"Rules of Prey (Lucas Davenport, #1)",John Sandford,4.11,2005,2,8,G.P. Putnam's Sons,1760,479
"Winter Prey (Lucas Davenport, #5)",John Sandford,4.26,1994,1,3,Berkley,506,400
The Good Liar,Gregory Maguire,3.54,2002,28,5,HarperCollins,23,144
The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,Muriel Spark,3.79,2004,6,5,Random House,91,512
Playing in the Dark: Whiteness and the Literary Imagination,Toni Morrison,4.24,1992,1,5,Harvard University Press,244,110
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.06,2003,21,5,Washington Square Press,14537,661
Erotism: Death and Sensuality,Georges Bataille,4.11,2001,1,1,City Lights Publishers,56,288
The Lost Colony (Artemis Fowl #5),Eoin Colfer,4.0,2006,15,9,Miramax Books/Hyperion Books for Children,1560,385
Monsoon (Courtney #10),Wilbur Smith,4.29,2003,16,5,St. Martin's Griffin,163,624
Wide Sargasso Sea: A Reader's Guide to Essential Criticism,Carl Plasa,3.63,2002,6,9,Palgrave Macmillan,10,194
Deenie,Judy Blume,3.78,1993,1,1,Atheneum/Richard Jackson Books,529,159
"Fudge-a-Mania (Fudge, #4)",Judy Blume,4.01,2004,6,1,Berkley,541,176
"Tales of a Fourth Grade Nothing (Fudge, #1)",Judy Blume,4.1,2004,6,1,Berkley,2181,144
Forever . . .,Judy Blume,3.62,2005,3,6,Pan Childrens,2964,178
"Arrow of God (The African Trilogy, #3)",Chinua Achebe,3.81,1989,1,1,Anchor Books,305,230
"Anatomy of a Boyfriend (Anatomy, #1)",Daria Snadowsky,3.41,2007,9,1,Delacorte Press,485,259
Letters from the Earth: Uncensored Writings,Mark Twain,4.2,2004,17,2,Harper Perennial Modern Classics,379,321
"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,3.87,2004,9,9,Portfolio,404,240
The Making of a Poker Player: How an Ivy League Math Geek Learned to Play Championship Poker,Matt Matros,3.53,2005,5,4,Lyle Stuart,4,286
"Shōgun (Asian Saga, #1)",James Clavell,4.39,1999,2,12,Hodder & Stoughton,298,1152
"Alas, Babylon",Pat Frank,4.08,2005,5,7,Harper Perennial Modern Classics,2647,323
The Art of Happiness,Dalai Lama XIV,4.16,1998,26,10,Riverhead Hardcover,2061,336
Speaking With the Angel,Nick Hornby,3.52,2001,1,2,Riverhead Books,298,256
The Spy,James Fenimore Cooper,3.6,2004,23,2,IndyPublish.com,1,404
The Last of the Mohicans (The Leatherstocking Tales #2),James Fenimore Cooper,3.7,1982,1,6,Bantam Classics,1815,410
A River Runs Through It,Norman Maclean,4.17,1989,15,5,University of Chicago Press,403,168
Black Hole,Charles Burns,3.84,2005,18,10,Pantheon,2055,368
Post Office,Charles Bukowski,3.99,2014,29,7,Ecco,198,196
Tell Me How Long the Train's Been Gone,James Baldwin,4.26,1998,17,2,Vintage,147,496
Another Country,James Baldwin,4.28,2001,11,9,Penguin Classics,962,448
Factotum,Charles Bukowski,3.97,2016,31,8,Editorial Anagrama,36,192
Notes of a Dirty Old Man,Charles Bukowski,3.95,2001,1,1,City Lights Books,335,204
Tales of Ordinary Madness,Charles Bukowski,3.92,2001,1,1,City Lights Publishers,438,238
You Get So Alone at Times That it Just Makes Sense,Charles Bukowski,4.24,1986,5,6,Black Sparrow Press,553,320
"Magic Bites (Kate Daniels, #1)",Ilona Andrews,4.07,2007,27,3,Ace,5463,261
Pedro Páramo / El Llano en llamas,Juan Rulfo,4.29,2006,1,4,Planeta,121,290
"Holes (Holes, #1)",Louis Sachar,3.96,2000,2,9,Scholastic,17758,233
The Feminine Mystique,Betty Friedan,3.86,2001,17,9,W. W. Norton  Company,650,430
James Herriot's Dog Stories,James Herriot,4.4,2006,14,11,St. Martin's Griffin,217,464
The Burning Plain and Other Stories,Juan Rulfo,4.19,1971,1,1,University of Texas Press,45,191
Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,4.38,2004,10,5,Back Bay Books,317,504
Confederates in the Attic: Dispatches from the Unfinished Civil War,Tony Horwitz,4.1,1999,22,2,Vintage,1606,406
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,4.03,2006,10,10,Vintage,3278,541
Death Match,Lincoln Child,3.79,2006,31,10,Anchor Books,411,388
"Reliquary (Pendergast, #2)",Douglas Preston,4.01,2005,1,8,Tor Books,1060,464
"The Cabinet of Curiosities (Pendergast, #3)",Douglas Preston,4.25,2003,1,6,Warner Books,1739,629
"Titus Groan (Gormenghast, #1)",Mervyn Peake,3.91,1991,1,11,Overlook Press,914,396
"What Angels Fear (Sebastian St. Cyr, #1)",C.S. Harris,3.89,2006,3,10,Signet,1088,410
The Milagro Beanfield War,John     Nichols,4.1,2000,15,2,Holt McDougal,399,456
The Perfect Wife,Lynsay Sands,3.86,2005,1,10,Leisure Books,134,354
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson,3.97,2001,14,11,Hyperion Books,18,374
The Real Frank Zappa Book,Frank Zappa,4.13,1990,3,8,Picador USA,224,352
Good Poems,Garrison Keillor,4.18,2003,26,8,Penguin Books,389,476
"The Dogs of Riga (Kurt Wallander, #2)",Henning Mankell,3.72,2004,13,4,Vintage Crime/Black Lizard,1022,326
"The White Lioness (Kurt Wallander, #3)",Henning Mankell,3.84,2003,4,9,Vintage,719,576
Epileptic,David B.,3.88,2005,4,7,Pantheon,535,368
How to Read Literature Like a Professor,Thomas C. Foster,3.65,2014,14,11,Harper Perennial,1845,314
Here Lies the Librarian,Richard Peck,3.73,2006,20,4,Dial Books,524,160
The Boy in the Striped Pajamas,John Boyne,4.14,2006,12,9,David Fickling Books,19227,240
Evening,Susan Minot,3.37,1999,7,9,Vintage,550,288
Suite Francaise,Irène Némirovsky,3.84,2006,11,4,Alfred A. Knopf,123,395
"The Goat, or Who is Sylvia?",Edward Albee,3.94,2004,28,12,Harry N. Abrams,171,110
"The Nasty Bits: Collected Varietal Cuts, Usable Trim, Scraps, and Bones",Anthony Bourdain,3.81,2006,16,5,Bloomsbury USA,703,288
The Whalestoe Letters,Mark Z. Danielewski,4.04,2000,10,10,Pantheon,96,83
"The Queen of Attolia (The Queen's Thief, #2)",Megan Whalen Turner,4.19,2006,24,1,Eos,2810,362
"The King of Attolia (The Queen's Thief, #3)",Megan Whalen Turner,4.37,2006,24,1,Greenwillow Books,2331,387
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,3.85,2007,1,5,HarperCollins Publishers,5937,264
A Year in Provence,Peter Mayle,3.96,1991,4,6,Vintage,2583,207
A Good Year,Peter Mayle,3.66,2006,3,10,Vintage,640,287
How to Breathe Underwater,Julie Orringer,3.96,2005,7,4,Penguin,34,222
The Crimson Petal and the White,Michel Faber,3.89,2003,11,9,Canongate Books,2194,835
"Kushiel's Scion (Imriel's Trilogy, #1)",Jacqueline Carey,4.2,2006,12,6,Warner Books (NY),37,753
Theft: A Love Story,Peter Carey,3.44,2006,9,5,Alfred A. Knopf,277,269
"Kushiel's Justice (Imriel's Trilogy, #2)",Jacqueline Carey,4.25,2007,14,6,Roc,385,703
"Kushiel's Avatar (Phèdre's Trilogy, #3)",Jacqueline Carey,4.36,2004,17,9,Tor,692,702
"Alvin Journeyman (Tales of Alvin Maker, #4)",Orson Scott Card,3.73,2005,1,12,Tor Books,233,381
Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,3.97,2016,1,3,Tor Books,897,402
"The Worthing Saga (Worthing, #1-3)",Orson Scott Card,3.85,1992,15,12,Tor Books,299,463
The Rocky Road to Romance (Elsie Hawkins #4),Janet Evanovich,3.68,2011,29,11,Harper,317,249
Love Overboard,Janet Evanovich,3.66,2005,1,2,HarperTorch,340,244
